group;team;code;Bet365;Skybet;Paddy Power;William Hill;888sport;Betfair Sportsbook;Bet Victor;Unibet;Mansion Bet;Betfred;Smarkets Sportsbook;Betway;Boyle Sports;10Bet;Sport Nation;VBet;Sporting Index;Redzone;Spreadex;Betfair;Smarkets;Matchbook
A;Italy;ITA;11;11;8;11;11;8;10;11;11;11;11.5;11;10;11;10;11;11;9.75;9;10.8;11.2;11.2
A;Switzerland;SUI;66;66;90;80;66;90;80;70;66;66;89;80;66;66;66;66;66;66;50;85;87;78
A;Turkey;TUR;50;66;66;50;50;66;50;50;50;50;64;50;50;50;50;50;60;33;50;61;63;64
A;Wales;WAL;200;100;125;125;200;125;125;100;125;125;249;150;150;150;150;200;150;150;150;246;244;255
B;Belgium;BEL;6;6;6.5;6;6;6.5;6;6;6;6;6.6;6;6;6;6;5.8;5.5;6.75;5.5;6.4;6.4;6.6
B;Denmark;DEN;28;33;25;28;28;25;25;25;30;28;33;28;28;30;28;28;28;28;28;31;32;33
B;Finland;FIN;500;250;325;250;500;325;500;300;400;250;499;500;250;400;400;500;300;400;400;683;489;686
B;Russia;RUS;66;66;75;100;66;75;125;100;100;66;239;79;125;80;80;66;100;80;100;227;234;235
C;Austria;AUT;80;100;90;125;80;90;125;100;100;100;199;79;125;80;80;80;100;80;150;189;195;196
C;Netherlands;NED;12;11;12;12;12;12;12;14;11;11;14.5;12;12;11;11;12;12;11;12;13.8;14.2;14.2
C;North Macedonia;MKD;500;500;500;500;499;500;500;500;500;499;499;500;400;500;500;500;500;500;400;499;489;686
C;Ukraine;UKR;50;66;90;100;50;90;125;100;80;80;99;66;80;80;80;50;80;80;80;132;97;137
D;Croatia;CRO;33;33;30;33;33;30;40;40;30;33;43;33;33;33;33;33;33;33;28;41;42;39
D;Czech Republic;CZE;150;150;125;125;150;125;125;150;100;100;189;100;125;125;125;150;150;125;80;180;185;135
D;England;ENG;5;5;4;5;5;4;4.5;5.5;5;5;5;5;5;5;4.5;4.9;5;5;4.5;4.8;5.2;5.2
D;Scotland;SCO;250;150;250;250;250;250;250;300;200;250;299;250;200;200;200;250;250;200;250;303;293;314
E;Poland;POL;80;80;66;80;80;66;80;80;66;80;99;80;80;80;80;80;66;80;80;94;97;98
E;Slovakia;SVK;250;150;325;250;250;325;500;300;300;200;299;500;250;200;200;250;250;200;500;826;293;784
E;Spain;ESP;7.5;8;7;7.5;7.5;7;8;9;7.5;8;8.8;7.5;7.5;7.5;7.5;7.5;7;7.5;7.5;8.2;8.6;8.6
E;Sweden;SWE;100;80;90;80;100;90;80;75;66;80;119;100;80;80;80;100;100;80;80;113;117;118
F;France;FRA;4.5;5;5;4.5;4.5;5;4.5;5;5;5;5;5;4.5;5;4.5;4.5;5;5;4.5;4.6;4.8;5
F;Germany;GER;7;7.5;8;8;7;8;8;9;7;7.5;8.6;8;8;7.5;9;7;7.5;7.5;8;8.5;8.8;8.8
F;Hungary;HUN;400;500;325;400;400;325;500;500;400;250;499;500;400;400;400;400;300;400;500;740;489;784
F;Portugal;POR;8;8;10;8;8;10;8;8;9;8;10;9;8;8;7;7.8;9;7.75;9;9.5;9.8;10.2
