code;group;logOdds;probabilities
ITA;A;-2.55350102890455;0.0721916349238626
SUI;A;-4.57609880260139;0.0101900741908801
TUR;A;-4.27299598587533;0.0137483058288502
WAL;A;-5.35920975609711;0.0046825926079311
BEL;B;-1.94114168454368;0.125522484108528
DEN;B;-3.62597586633343;0.0259326952209509
FIN;B;-6.28788416199054;0.00185524015954713
RUS;B;-4.9181141273229;0.00725981867233196
AUT;C;-4.99521317740535;0.00672474925514113
NED;C;-2.72308821314268;0.0616246420720322
MKD;C;-6.5161184992678;0.00147721487353923
UKR;C;-4.71558383616591;0.00887516264442383
CRO;D;-3.81497500172838;0.0215630530794515
CZE;D;-5.18706387940868;0.00555733438286175
ENG;D;-1.65906064276638;0.159888134780142
SCO;D;-5.79688352809707;0.00302780928119024
POL;E;-4.68020497333148;0.00919183841590694
SVK;E;-6.02147741262399;0.00242021098904633
ESP;E;-2.21840181155119;0.0981101284511465
SWE;E;-4.79997122293099;0.0081628041339847
FRA;F;-1.6414379659533;0.16226949327065
GER;F;-2.24071208548951;0.0961536379032396
HUN;F;-6.37502168588181;0.00170068559289343
POR;F;-2.3369518842242;0.0881085096346247
